order_id,product_id,order_date,courier_delivery,city,district,type_of_delivery,estimated_delivery_time_days,product_rating,ontime
738527,194,2022-12-12,JNE,Palembang,Bukit Kecil,Reguler,4,2,Ontime
149822,268,2023-04-13,SiCepat,Yogyakarta,Terban,Same Day,5,5,Ontime
635991,175,2023-01-01,JNE,Surabaya,Sambikerep,Same Day,4,3,Ontime
221362,257,2023-05-15,POS Indonesia,Bekasi,Medan Satria,Express,4,1,Ontime
687298,269,2022-07-30,JNE,Bandung,Cibeunying Kaler,Express,3,4,Ontime
599035,191,2022-07-03,JNE,Yogyakarta,Gondomanan,Next Day,4,5,Ontime
818755,112,2023-01-12,JNE,Surabaya,Wiyung,Next Day,3,3,Ontime
564488,257,2022-12-04,JNE,Makassar,Manggala,Same Day,1,1,Ontime
633998,228,2023-05-01,SiCepat,Depok,Cinere,Next Day,1,2,Ontime
578132,198,2022-11-02,Ninja Xpress,Pekanbaru,Payung Sekaki,Next Day,4,3,Ontime
693909,238,2023-02-24,Ninja Xpress,Palembang,Sukarami,Next Day,5,1,Ontime
793402,235,2022-08-13,JNE,Malang,Turen,Reguler,3,1,Ontime
16552,203,2022-08-07,SiCepat,Yogyakarta,Gondomanan,Same Day,1,2,Ontime
975553,202,2022-11-18,POS Indonesia,Makassar,Tamalanrea,Reguler,3,3,Ontime
233495,118,2022-07-14,J&T Express,Bandung,Mandalajati,Express,3,2,Ontime
702742,168,2022-12-07,JNE,Depok,Bojongsari,Express,5,1,Ontime
136396,283,2023-03-30,Ninja Xpress,Semarang,Tugu Mulyo,Next Day,2,2,Ontime
453070,180,2023-03-05,JNE,Pontianak,Pontianak Selatan,Reguler,3,4,Ontime
683754,193,2023-02-03,POS Indonesia,Batam,Sekupang,Same Day,2,3,Ontime
951414,244,2022-08-16,J&T Express,Depok,Tapos,Same Day,4,3,Ontime
457807,298,2022-10-24,POS Indonesia,Jakarta,Senen,Next Day,3,5,Ontime
991366,250,2022-08-05,J&T Express,Depok,Limo,Reguler,3,3,Ontime
610300,151,2022-08-07,Ninja Xpress,Makassar,Makassar Selatan,Express,3,5,Ontime
167442,251,2023-04-10,POS Indonesia,Pekanbaru,Sukajadi,Express,4,1,Ontime
512915,142,2022-11-15,POS Indonesia,Jakarta,Setiabudi,Express,2,2,Ontime
540554,298,2023-02-11,J&T Express,Denpasar,Kedonganan,Same Day,4,1,Ontime
152422,214,2023-03-06,SiCepat,Padang,Padang Barat,Reguler,2,3,Ontime
914766,127,2022-06-12,SiCepat,Pekanbaru,Pekanbaru Kota,Express,4,5,Ontime
504204,211,2022-12-09,POS Indonesia,Medan,Medan Baru,Next Day,1,4,Ontime
798230,234,2023-02-04,J&T Express,Bogor,Bogor Timur,Same Day,4,4,Ontime
587078,161,2022-12-20,Ninja Xpress,Yogyakarta,Kotagede,Express,3,1,Ontime
967461,111,2022-11-04,Ninja Xpress,Bekasi,Medan Satria,Next Day,3,1,Ontime
210207,159,2023-05-05,Ninja Xpress,Makassar,Tallo,Reguler,5,5,Ontime
821002,256,2023-04-13,J&T Express,Depok,Cinere,Express,2,1,Ontime
727835,268,2022-08-06,POS Indonesia,Jakarta,Setiabudi,Express,5,2,Ontime
975305,258,2022-09-02,JNE,Yogyakarta,Prawirotaman,Same Day,4,2,Ontime
796948,299,2022-08-01,J&T Express,Semarang,Pedurungan,Same Day,5,3,Ontime
812444,300,2023-06-09,SiCepat,Jakarta,Kramat Jati,Express,2,5,Ontime
999966,168,2023-02-13,JNE,Depok,Cipayung,Next Day,3,4,Ontime
828752,185,2022-09-13,SiCepat,Jakarta,Kemayoran,Reguler,5,1,Ontime
226744,293,2022-09-16,J&T Express,Yogyakarta,Sewon,Express,5,1,Ontime
964500,190,2023-05-22,Ninja Xpress,Tangerang,Serpong,Same Day,2,3,Ontime
825985,159,2022-11-30,SiCepat,Pekanbaru,Rumbai,Same Day,3,3,Ontime
142114,191,2023-04-29,J&T Express,Batam,Batam Kota,Next Day,4,2,Ontime
289301,136,2023-01-07,POS Indonesia,Surakarta,Mojogedang,Same Day,1,1,Ontime
705194,277,2023-03-30,Ninja Xpress,Makassar,Makassar Timur,Next Day,5,3,Ontime
435659,253,2023-02-28,SiCepat,Yogyakarta,Gondokusuman,Express,1,4,Ontime
218098,150,2022-09-15,SiCepat,Bogor,Leuwiliang,Next Day,2,5,Ontime
576667,264,2023-05-18,Ninja Xpress,Malang,Lowokwaru,Same Day,4,2,Ontime
965845,223,2023-03-17,J&T Express,Pekanbaru,Senapelan,Next Day,5,1,Ontime
804628,237,2022-06-18,JNE,Bandar Lampung,Panjang,Same Day,4,1,Ontime
937932,121,2022-10-18,JNE,Pekanbaru,Payung Sekaki,Reguler,2,2,Ontime
104940,260,2022-09-11,J&T Express,Malang,Singosari,Next Day,2,5,Ontime
587014,233,2023-06-10,JNE,Palembang,Bukit Besar,Same Day,2,1,Ontime
327941,263,2022-09-30,J&T Express,Malang,Tumpang,Same Day,5,3,Ontime
484885,279,2022-11-04,JNE,Surakarta,Serengan,Next Day,3,2,Ontime
441651,275,2022-12-12,J&T Express,Palembang,Ilir Timur II,Reguler,2,5,Ontime
324943,162,2022-08-25,J&T Express,Surabaya,Tegalsari,Next Day,4,4,Ontime
922212,299,2023-04-06,J&T Express,Batam,Batu Aji,Express,3,1,Ontime
216479,160,2023-06-02,J&T Express,Bandung,Cinambo,Next Day,1,4,Ontime
762442,270,2022-10-16,JNE,Batam,Batu Aji,Express,3,2,Ontime
30410,148,2023-02-11,POS Indonesia,Yogyakarta,Sewon,Next Day,3,2,Ontime
461574,222,2023-01-10,SiCepat,Bekasi,Jatiwaringin,Express,2,2,Ontime
273877,156,2022-07-19,POS Indonesia,Semarang,Gajahmungkur,Reguler,2,2,Ontime
782024,155,2022-09-18,SiCepat,Jakarta,Makasar,Reguler,3,3,Ontime
817039,116,2022-08-21,SiCepat,Yogyakarta,Gondomanan,Reguler,3,4,Ontime
658237,228,2023-03-22,POS Indonesia,Bandung,Mandalajati,Same Day,2,2,Ontime
713444,160,2022-10-10,Ninja Xpress,Batam,Sagulung,Express,2,4,Ontime
178136,210,2022-07-05,POS Indonesia,Tangerang,Karang Tengah,Next Day,5,5,Ontime
594199,126,2023-02-06,JNE,Pekanbaru,Lima Puluh,Express,4,1,Ontime
67461,156,2022-06-24,J&T Express,Pontianak,Pontianak Utara,Next Day,4,5,Ontime
820253,154,2023-02-20,Ninja Xpress,Makassar,Rappocini,Next Day,2,4,Ontime
149066,286,2023-05-02,POS Indonesia,Yogyakarta,Mergangsan,Same Day,5,5,Ontime
67162,207,2023-04-24,Ninja Xpress,Padang,Padang Utara,Reguler,2,1,Ontime
235555,188,2022-09-16,POS Indonesia,Jakarta,Gambir,Same Day,5,1,Ontime
125047,179,2023-05-31,SiCepat,Surakarta,Gemolong,Express,1,4,Ontime
573101,190,2022-11-28,SiCepat,Pontianak,Pontianak Kota,Same Day,5,5,Ontime
708506,153,2022-06-15,Ninja Xpress,Bandung,Kiaracondong,Express,2,1,Ontime
281297,276,2022-10-19,Ninja Xpress,Yogyakarta,Ngampilan,Reguler,4,1,Ontime
78352,291,2022-08-02,SiCepat,Medan,Medan Johor,Same Day,5,4,Ontime
113399,275,2023-04-27,JNE,Pontianak,Pontianak Barat,Next Day,5,2,Ontime
696339,143,2023-03-20,J&T Express,Tangerang,Serpong Selatan,Same Day,4,1,Ontime
255966,186,2022-06-25,SiCepat,Medan,Medan Perjuangan,Next Day,3,3,Ontime
197445,297,2022-11-03,SiCepat,Depok,Bojongsari,Reguler,5,1,Ontime
733730,182,2022-09-04,Ninja Xpress,Pontianak,Pontianak Barat,Express,1,3,Ontime
675354,156,2022-10-05,Ninja Xpress,Malang,Pakis,Same Day,4,1,Ontime
358851,155,2022-08-07,J&T Express,Bogor,Bogor Timur,Express,3,1,Ontime
547189,213,2022-06-25,SiCepat,Palembang,Plaju,Reguler,4,4,Ontime
297967,251,2022-10-02,J&T Express,Surabaya,Rungkut,Express,3,2,Ontime
630606,198,2023-01-31,POS Indonesia,Pontianak,Pontianak Selatan,Next Day,5,4,Ontime
619761,227,2023-04-02,Ninja Xpress,Depok,Tapos,Express,1,1,Ontime
59030,111,2022-09-06,J&T Express,Bekasi,Medan Satria,Reguler,3,3,Ontime
